feature,importance_aggregated
cumulative_cement_co2,0.0010106906714969573
cumulative_coal_co2,0.04314652209325589
cumulative_gas_co2,0.00016430710700918728
cumulative_luc_co2,0.05357193092342402
cumulative_oil_co2,0.002651886280919787
population,0.013684822772112602
