Model,Scope,Features,R2 train,R2 test,MAE train,MAE test,MSE train,MSE test,RMSE train,RMSE test,Best Parameters
random_forest,Global,all,0.9425867972805689,-4.068678829738849,0.04565329966329967,0.3095892857142858,0.003227744739907427,0.11940244192885488,0.0568132444057495,0.34554658431079144,"{'random_forest__max_depth': None, 'random_forest__min_samples_split': 5, 'random_forest__n_estimators': 10, 'random_forest__random_state': 42}"
gradient_boosting,Global,all,0.9670259103569675,-4.60185948343189,0.033123529347837785,0.32925008390910215,0.0018537886645803344,0.1319625338539241,0.043055646140550886,0.363266477745916,"{'gradient_boosting__learning_rate': 0.1, 'gradient_boosting__max_depth': 3, 'gradient_boosting__n_estimators': 100, 'gradient_boosting__random_state': 42}"
svm,Global,all,0.8131109381803802,-11.858208891233362,0.08746489092231644,0.4967140051887451,0.010506819993693775,0.30289974804414255,0.10250278041933192,0.5503632873331419,"{'svm__C': 10, 'svm__gamma': 'scale', 'svm__shrinking': False}"
elastic_net,Global,all,0.6986644493777181,-1.72213583571494,0.10516811882235194,0.23927357681668826,0.0169409507290733,0.06412512549412294,0.13015740750749955,0.25322939302956704,"{'elastic_net__alpha': 0.1, 'elastic_net__l1_ratio': 0.5, 'elastic_net__random_state': 42}"
linear_regression,Global,all,0.7962767217917716,-255.6581933158149,0.08870166125169705,1.9961488934294396,0.011453232157187401,6.046075526260032,0.10701977460818819,2.4588768831033474,{}
