Feature,Importance
cumulative_oil_co2,0.2173197612565574
population,0.204195258021874
cumulative_coal_co2,0.20300819421990277
cumulative_cement_co2,0.17334938631291358
cumulative_luc_co2,0.11677743352408615
cumulative_gas_co2,0.08534996666466613
