,Coefficient,P-Value,T-Value,Conf Int Low,Conf Int High
const,-0.27364507017165524,1.0877761374584088e-43,-20.363552905711202,-0.300212683708938,-0.24707745663437247
cumulative_co2,7.214864726710716e-07,2.1033209896152875e-71,35.19142355323097,6.809533719765484e-07,7.620195733655949e-07
