Model,Scope,Features,R2 train,R2 test,MAE train,MAE test,MSE train,MSE test,RMSE train,RMSE test,Best Parameters
random_forest,Global,CO2,0.9428891413309293,-4.068678829738849,0.04587226881914382,0.3095892857142858,0.003210747091771306,0.11940244192885488,0.05666345464028209,0.34554658431079144,"{'random_forest__max_depth': None, 'random_forest__min_samples_split': 5, 'random_forest__n_estimators': 10, 'random_forest__random_state': 42}"
gradient_boosting,Global,CO2,0.9688340067661277,-4.6587594474446865,0.031869906089929304,0.33127934652265967,0.001752138288055747,0.13330292153225365,0.0418585509550408,0.365106726221599,"{'gradient_boosting__learning_rate': 0.1, 'gradient_boosting__max_depth': 3, 'gradient_boosting__n_estimators': 100, 'gradient_boosting__random_state': 42}"
svm,Global,CO2,0.7994848920924573,-8.46609048927405,0.0884118237254546,0.4173514985581524,0.01127287024873631,0.2229918994486902,0.10617377382732664,0.4722201811111954,"{'svm__C': 10, 'svm__gamma': 1, 'svm__shrinking': False}"
elastic_net,Global,CO2,0.6856823688933841,-1.393810483158597,0.10696123514867768,0.22262162168657967,0.01767079752408901,0.0563907927105247,0.13293155202618004,0.23746745610825223,"{'elastic_net__alpha': 0.1, 'elastic_net__l1_ratio': 0.5, 'elastic_net__random_state': 42}"
linear_regression,Global,CO2,0.7442045357544433,0.7268118105456487,0.09827307164735695,0.0696413143087492,0.014380707313012196,0.0064354712584251085,0.11991958686141391,0.08022138903325664,{}
